Business Name,Phone Number,Address,Followers,URL,State,City,Country,Zip Code,Website,Typical Job Cost
Potomac Designs,(301) 365-0457,"7016 Bradley Blvd Bethesda,, Maryland 20817 United States",83 Followers Follow,https://www.houzz.com/pro/carolelindenberg/potomac-designs,Maryland,Bethesda,United States,20817,www.potomacdesigns.com,
Amy's,(607) 725-1770,"New Holland, Pennsylvania 17557 United States",0 Followers Follow,https://www.houzz.com/pro/thriftinflippin-momma/amy-s,Pennsylvania,New Holland,United States,17557,,
teddy,+31 6 23946139,"6140 Ramshorn Dr McLean, Virginia 22101 United States",0 Followers Follow,https://www.houzz.com/pro/teddy-auer/teddy,Virginia,McLean,United States,22101,,
For Love & Design,(213) 264-8181,"Alexandria, Virginia 22314 United States",0 Followers Follow Socials Find me on my blog or other site,https://www.houzz.com/pro/webuser-941235727/for-love-design,Virginia,Alexandria,United States,22314,forloveanddesign.com,
Gretel Lott,(702) 524-7705,"304 Forest Court Severna Park, Maryland 21146 United States",0 Followers Follow Socials Find me on my blog or other site,https://www.houzz.com/pro/gretel-lott/gretel-lott,Maryland,Severna Park,United States,21146,gretellott.com,
Kelsey Interiors,(301) 254-7237,"Washington DC, D.C. 20011 United States",11 Followers Follow,https://www.houzz.com/pro/kelseyinteriors/kelsey-interiors,D.C.,,United States,20011,kelseyinteriors.com/,
LK Design,555555555,Maryland 20723 United States,13 Followers Follow,https://www.houzz.com/pro/lindsay-klaff/lk-design,,,United States,,www.lindsayklaffdesign.com,
jgcryt,(407) 256-1039,"McLean, Virginia 22102 United States",0 Followers Follow,https://www.houzz.com/pro/jarai-ings/jgcryt,Virginia,McLean,United States,22102,,
Liv Poppy Designs,(703) 399-5665,"Ivakota Road Clifton, Virginia 20124 United States",0 Followers Follow,https://www.houzz.com/pro/jenn-dibari48/liv-poppy-designs,Virginia,Clifton,United States,20124,www.livpoppydesigns.com,
sarah,(484) 709-6829,"436 Gordon st Reading, Pennsylvania 19601 United States",0 Followers Follow,https://www.houzz.com/pro/sarah-ortiz6/sarah,Pennsylvania,Reading,United States,19601,sarah,
Merrie Joy Interiors,(703) 798-7513,15641 Cristabel Lane Leesburg 20176 United States,0 Followers Follow,https://www.houzz.com/pro/merriejoyinteriors/merrie-joy-interiors,,,United States,,www.merriejoyinteriors.com,"$30,000 - 50,000 Read More"
cedar ridge design,(703) 898-5170,"clifton, Virginia 20124 United States License Number 0021485861",16 Followers Follow,https://www.houzz.com/pro/mbethard/cedar-ridge-design,,,,,mbethard.houzz.com,
