Business Name,Phone Number,Website,Address,Followers,URL,State,City,Country,Zip Code,Typical Job Cost
Annie De Castro Design Group,(559) 744-4350,www.addgboston.com/,"119 Foster Street, Bldg 4 Peabody, Massachusetts 01960 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-100177609/annie-de-castro-design-group,Massachusetts,Peabody,United States,01960,"$50,000 - 250,000 Read More"
just me,(860) 916-5832,,"654 Dunn Road Coventry, Connecticut 06238 United States",0 Followers Follow,https://www.houzz.com/pro/karencraig-stearns/just-me,Connecticut,Coventry,United States,06238,
Bassett,(339) 227-9569,www.bassettfurniture.com,"70 Edgelawn Ave. #2 North Andover, Massachusetts 01845 United States",0 Followers Follow,https://www.houzz.com/pro/ashleymariehanson/bassett,Massachusetts,North Andover,United States,01845,
KTysonFitness,(617) 517-7159,,"35 Tenney St. Georgetown, Massachusetts 01833 United States",,https://www.houzz.com/pro/kimberly-tyson66/ktysonfitness,Massachusetts,Georgetown,United States,01833,
Evolution Design Studios,,www.evolutiondesignstudios.com,West Springfield 01089 United States,0 Followers Follow,https://www.houzz.com/pro/vjcaron/evolution-design-studios,,,United States,,
hayden and designs,(478) 951-5798,www.non,"chicago, Connecticut 02849 United States",0 Followers Follow,https://www.houzz.com/pro/hayden-craddock/hayden-and-designs,Connecticut,chicago,United States,02849,
Breannah Harmon,(858) 225-9685,bharmoniousdesigns.wordpress.com,"19 Winding Way Portland, Maine 04102-1726 United States",9 Followers Follow,https://www.houzz.com/pro/bharmoniousdesigns/breannah-harmon,Maine,Portland,United States,04102-1726,$75 - Read More
Found Design Studio,(530) 591-9289,,"67 Main Street, FDS Essex, Massachusetts 01929 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-562894785/found-design-studio,Massachusetts,FDS Essex,United States,01929,
Honey Bee Interior Design,(781) 660-7408,,"Boston, Massachusetts 02108 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-257717035/honey-bee-interior-design,Massachusetts,Boston,United States,02108,
MJM Property Management,(718) 791-9993,,"Boston, Massachusetts 02122 United States",0 Followers Follow,https://www.houzz.com/pro/dominic-mathurin/mjm-property-management,Massachusetts,Boston,United States,02122,
Sandra Mauricio,,www.jenniferpalumbo.com,"Newtonville, Massachusetts 02460 United States",6 Followers Follow,https://www.houzz.com/pro/sandramauricio/sandra-mauricio,Massachusetts,Newtonville,United States,02460,
Mass General Brigham,(860) 978-7294,,"7 Tilden Commons Drive, Apt 708 Quincy, Massachusetts 02171 United States",0 Followers Follow,https://www.houzz.com/pro/arpita-akhouri/mass-general-brigham,Massachusetts,Quincy,United States,02171,
Stratedia,(860) 415-0340,stratedia.com/,"424 Judson Avenue Mystic, Connecticut 06355 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-494055657/stratedia,Connecticut,Mystic,United States,06355,
lin,(603) 438-2226,,"Arlington, Massachusetts 02474 United States",0 Followers Follow,https://www.houzz.com/pro/lin-qiao52/lin,Massachusetts,Arlington,United States,02474,
"Kia Hiller, Ethan Allen of Manchester",(860) 644-6800,www.ethanallen.com,"49 HALE ROAD MANCHESTER, Connecticut United States",0 Followers Follow Socials Find me on my blog or other site,https://www.houzz.com/pro/webuser-726851393/kia-hiller-ethan-allen-of-manchester,,,,,
Zinc Studio Design,(603) 801-4221,www.zincstudiodesign.com,"3 Mill Lane Rockport, Massachusetts 01966 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-5112049/zinc-studio-design,Massachusetts,Rockport,United States,01966,
Brianna Hoyle Designs,,,"Warwick, Rhode Island 02889 United States",20 Followers Follow Socials Find me on FacebookFind me on Linkedin,https://www.houzz.com/pro/briannahoyle/brianna-hoyle-designs,,,,,
Meredith Rodday Design,1000000000,www.meredithroddaydesign.com,"Concord, Massachusetts 01742 United States",12 Followers Follow Socials Find me on my blog or other site,https://www.houzz.com/pro/viewfrommyheels/meredith-rodday-design,Massachusetts,Concord,United States,01742,"$25,000 -"
JGH Interiors,(860) 581-0083,,"40 Nelson St Leominster, Massachusetts 01453 United States",0 Followers Follow,https://www.houzz.com/pro/julia-huggins74/jgh-interiors,Massachusetts,Leominster,United States,01453,
Jennifer Brinkley,,,"Watertown, Massachusetts 02472 United States",2 Followers Follow,https://www.houzz.com/pro/jmbrink/jennifer-brinkley,Massachusetts,Watertown,United States,02472,
PershingPlace,(617) 877-3202,,"15 Black Rock Road Cohasset, Massachusetts 02025 United States",9 Followers Follow,https://www.houzz.com/pro/kate-pershing/pershingplace,Massachusetts,Cohasset,United States,02025,
Eric Roseff Designs,(617) 282-9725,www.EricRoseffDesigns.com,"17 Saxton Street Boston, Massachusetts 02125 United States",209 Followers Follow Socials Find me on FacebookFind me on TwitterFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/erdezn/eric-roseff-designs,Massachusetts,Boston,United States,02125,"$400,000 - 2 million Read More"
PRIM,(508) 983-4905,www.primrealdesign.com,"9 Glen Street North Grafton, Massachusetts 01536 United States",50 Followers Follow Socials Find me on FacebookFind me on my blog or other site,https://www.houzz.com/pro/primreallifedesign/prim,Massachusetts,North Grafton,United States,01536,"$100,000 - 5 million Read More"
Margie Chin Design,(781) 259-1874,,"16 Farrar Rd. Lincoln, Massachusetts 01773 United States",13 Followers Follow,https://www.houzz.com/pro/mychin/margie-chin-design,Massachusetts,Lincoln,United States,01773,
Greystone Statement Interiors,(203) 913-1420,greystonestatements.com,"Westport, CT, Connecticut United States License Number 70438395-001",13 Followers Follow Socials Find me on FacebookFind me on my blog or other site,https://www.houzz.com/pro/info556587/greystone-statement-interiors,,,,,
Nautical needles,(860) 399-9754,,06417 United States,0 Followers Follow,https://www.houzz.com/pro/nautical-needles98/nautical-needles,,,,,
Space Lifts,(617) 244-8316,,"118 Walnut Hill Road Newton, Massachusetts 02461 United States",4 Followers Follow,https://www.houzz.com/pro/spaceliftsdesigns/space-lifts,Massachusetts,Newton,United States,02461,
Poppy Home Organization,(617) 596-0981,,"200 commonwealth ave Chestnut Hill, Massachusetts 02467 United States",0 Followers Follow,https://www.houzz.com/pro/anna-metaxeniou/poppy-home-organization,Massachusetts,Chestnut Hill,United States,02467,
EURO-PLUS Design Inc,(508) 358-5392,www.euro-plusdesign.com/,"Wayland, Massachusetts United States",4 Followers Follow,https://www.houzz.com/pro/info44890/euro-plus-design-inc,,,,,$3 - 800 Read More
Triggs Remodeling,,,"Hadley, Massachusetts 01035 United States",2 Followers Follow,https://www.houzz.com/pro/trigger69/triggs-remodeling,Massachusetts,Hadley,United States,01035,
Artiola Hoxha,(857) 277-9994,,"Winthrop, Massachusetts 02152 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-427647568/artiola-hoxha,Massachusetts,Winthrop,United States,02152,
Hilary House Interiors,(617) 523-7118,Hilaryhouseinteriors.com,"523 Main Street Brewster, Massachusetts 02631 United States",8 Followers Follow,https://www.houzz.com/pro/hilaryhouse/hilary-house-interiors,Massachusetts,Brewster,United States,02631,
Studio Z Home,(617) 921-4123,,"Bedford, New Hampshire United States",20 Followers Follow,https://www.houzz.com/pro/alyssazink/studio-z-home,,,,,"$1,000 - 50,000"
The design studio,(973) 617-7577,,"26 Catherine St, Unit 1 Newport, Rhode Island 02840 United States",0 Followers Follow,https://www.houzz.com/pro/design-studio70/the-design-studio,,"Newport, Rhode Island",United States,02840,
Classical Home Decor,(857) 269-4335,classicalhomedecor.com/,"Boston, Massachusetts United States",1 Follower Follow,https://www.houzz.com/pro/spck-gordon/classical-home-decor,,,,,
Brittany Long,(973) 897-1575,,"Melrose, Massachusetts 02176 United States",0 Followers Follow,https://www.houzz.com/pro/beroselong/brittany-long,Massachusetts,Melrose,United States,02176,
bingoland,(617) 458-6088,,"41 Nichols st Belmont, Massachusetts 02478 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-538549034/bingoland,Massachusetts,Belmont,United States,02478,
Enlightened Instincts,(781) 340-3821,,"Weymouth, Massachusetts 02188 United States",0 Followers Follow,https://www.houzz.com/pro/marianosammy/enlightened-instincts,Massachusetts,Weymouth,United States,02188,
Kartholowmew,(800) 555-6666,,"buttertown, Connecticut 45667 United States",0 Followers Follow,https://www.houzz.com/pro/khloe-koontz/kartholowmew,Connecticut,buttertown,United States,45667,
Sarah Scales Design Studio,(617) 901-6796,www.sarahscales.com,"Milton, Massachusetts 02186 United States",60 Followers Follow Socials Find me on FacebookFind me on TwitterFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/sarahscales/sarah-scales-design-studio,Massachusetts,Milton,United States,02186,"$120,000 - 500,000 Read More"
Found Design Studio,(978) 890-7180,www.founddesignstudio.co,"67 Main Street Essex, Massachusetts 01929 United States",48 Followers Follow,https://www.houzz.com/pro/founddesignstudio/found-design-studio,Massachusetts,Essex,United States,01929,"$50,000 - 2 million License Number 28210"
ACQUIRE,(917) 568-7202,www.acquireboutique.com,"Wellesley, Massachusetts 02481 United States",182 Followers Follow Socials Find me on FacebookFind me on my blog or other site,https://www.houzz.com/pro/acquireboutique/acquire,Massachusetts,Wellesley,United States,02481,"$100,000 - 5 million"
Dalebrook,(781) 742-3562,,"20 Dalebrook Court Canton, Massachusetts 02021 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-361046779/dalebrook,Massachusetts,Canton,United States,02021,
BASSETT FURNITURE,(860) 666-8666,,"3583 BERLIN TPKE NEWINGTON, Connecticut 06111 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-251937250/bassett-furniture,Connecticut,NEWINGTON,United States,06111,"$8,000 - 20,000"
GATHERING ROOM,(774) 392-5796,gatheringroomcapecod.com,"FALMOUTH, Massachusetts 02540 United States",0 Followers Follow Socials Find me on FacebookFind me on my blog or other site,https://www.houzz.com/pro/gathering-room/gathering-room,Massachusetts,FALMOUTH,United States,02540,"$150 - 20,000.00 Read More"
Khaki Summers Design Group,(508) 566-0739,www.khakisummers.com,"Falmouth Falmouth, Massachusetts 02536 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-867151722/khaki-summers-design-group,,,,,100 -
Harmony Line Designs,(603) 933-0369,,"Hancock, New Hampshire 03449 United States",3 Followers Follow,https://www.houzz.com/pro/harmonylinedesigns/harmony-line-designs,New Hampshire,Hancock,United States,03449,
LK Design Interiors,(860) 881-2927,lkdesigninteriors.com,"Cromwell, Connecticut 06416 United States Socials Find me on LinkedinFind me on my blog or other site",,https://www.houzz.com/pro/laura-kulpa/lk-design-interiors,,,,,
Unisun Design Homes,(401) 533-0003,,"Barrington RI, Rhode Island 02806 United States",0 Followers Follow,https://www.houzz.com/pro/dswiftmorton/unisun-design-homes,,,,,
Cristina Hadzi Design,(917) 553-5406,cristinahadzi.com,"South Yarmouth, Massachusetts 02664 United States License Number TF4035457",163 Followers Follow Socials Find me on FacebookFind me on TwitterFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/hadzidesign/cristina-hadzi-design,,,,,
Model55,(508) 405-0355,www.model55.com,"Model55 2 Central Street Framingham, Massachusetts 01701 United States",9 Followers Follow,https://www.houzz.com/pro/model55/model55,Massachusetts,Framingham,United States,01701,
Judy Wilk Interiors,(508) 498-2781,www.houzz.com/pro/judywilkinteriors,"Wrentham, Massachusetts 02093 United States",7 Followers Follow Socials Find me on my blog or other site,https://www.houzz.com/pro/judywilkinteriors/judy-wilk-interiors,Massachusetts,Wrentham,United States,02093,"$150 - 30,000 Read More License Number 12113618"
my bedroom,(781) 535-2901,,"99 lawson road Winchester, Massachusetts 01890 United States",0 Followers Follow,https://www.houzz.com/pro/amelia-doherty72/my-bedroom,Massachusetts,Winchester,United States,01890,
Always Flair,(508) 216-0223,,"57 Wilmarth Bridge rd Rehoboth, Massachusetts 02769 United States",4 Followers Follow,https://www.houzz.com/pro/sarahclaire81/always-flair,Massachusetts,Rehoboth,United States,02769,
Finally Home Design,(781) 635-7218,,"236 Hancock St Stoneham, Massachusetts 02180 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-816266453/finally-home-design,Massachusetts,Stoneham,United States,02180,
First Look Enterprises,(781) 248-3696,,"24 Old Farm Road Randolph, Massachusetts 02368 United States",0 Followers Follow,https://www.houzz.com/pro/mona-zaiter/first-look-enterprises,Massachusetts,Randolph,United States,02368,
Tia Ortiz for Ethan Allen Rockville,,www.ethanallen.com,"50 Linwood St Brockton, Massachusetts 02301 United States",38 Followers Follow Socials Find me on FacebookFind me on my blog or other site,https://www.houzz.com/pro/tia-hopkins/tia-ortiz-for-ethan-allen-rockville,Massachusetts,Brockton,United States,02301,"$1,000 - 100,000 Read More"
Judith Whalen,(781) 971-5131,WWW.theDesignStudio.design,"Rockland, Massachusetts 02370 United States",23 Followers Follow,https://www.houzz.com/pro/jwhalen/judith-whalen,Massachusetts,Rockland,United States,02370,"$50,000 - 300,000"
Kathryn Laura Interiors,(207) 249-1313,www.kathrynlaurainteriors.org/,"Kittery, Maine 03904 United States",2 Followers Follow Socials Find me on my blog or other site,https://www.houzz.com/pro/webuser-667476594/kathryn-laura-interiors,Maine,Kittery,United States,03904,
Golden Interiors,(781) 740-8764,,"Hingham, Massachusetts 02043 United States",1 Follower Follow,https://www.houzz.com/pro/whobut/golden-interiors,Massachusetts,Hingham,United States,02043,
Carol Trubey Interiors,(978) 632-9281,www.caroltrubeyinteriors.com,"114 Pearl Street Gardner, Massachusetts 01440 United States License Number ASID member no. 1485254",10 Followers Follow,https://www.houzz.com/pro/catdesign/carol-trubey-interiors,Massachusetts,Gardner,,01440,
Sonia' Designs/ Dot the i Designs,(781) 492-7580,dottheidesigns.com,Arlington 02474 United States,55 Followers Follow Socials Find me on FacebookFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/webuser-684032/sonia-designs-dot-the-i-designs,,,United States,,
Stacy B Interiors,(508) 868-7727,,"5 Old Colony Drive Dover, Massachusetts 02030 United States",18 Followers Follow,https://www.houzz.com/pro/shircastel/stacy-b-interiors,Massachusetts,Dover,United States,02030,
Noneya,(203) 602-1182,,02446 United States,0 Followers Follow,https://www.houzz.com/pro/sara-villegaskeech/noneya,,,,,
LV Ventures,(781) 749-7449,,"161 main st boston, Massachusetts 02043 United States",6 Followers Follow,https://www.houzz.com/pro/lisavanderweil/lv-ventures,Massachusetts,boston,United States,02043,
Erin Walsh Design,(413) 210-5709,erinh90.houzz.com,"Andover, Massachusetts United States",5 Followers Follow,https://www.houzz.com/pro/erinh90/erin-walsh-design,,,,,"$600 - 3,000 Read More"
"Fran Foucher for Ethan Allen Burlington, MA",(781) 273-2515 ext. 11,ethanallen.com/,"6 Wayside Road Burlington, Massachusetts 01803 United States",17 Followers Follow,https://www.houzz.com/pro/caliann/fran-foucher-for-ethan-allen-burlington-ma,Massachusetts,Burlington,United States,01803,
Maddy designs,(603) 260-2235,,"15 Harvest Dr Derry, New Hampshire 03038 United States",0 Followers Follow,https://www.houzz.com/pro/madalyn-hayes77/maddy-designs,New Hampshire,Derry,United States,03038,
Ms.Mitchell,(203) 935-7266,,"144 pleasant st New Britain, Connecticut 06051 United States",0 Followers Follow,https://www.houzz.com/pro/montajamitchell/ms-mitchell,Connecticut,New Britain,United States,06051,
Cathy Crist,(978) 745-3033,www.cathycrist.com,"89 Canal Street Salem, Massachusetts 01970 United States",52 Followers Follow Socials Find me on Facebook,https://www.houzz.com/pro/cathycrist/cathy-crist,Massachusetts,Salem,United States,01970,
Kristen Coates,(401) 684-0211,www.kristencoates.net,"152 Bellevue Ave Newport, Rhode Island 02840 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-221819953/kristen-coates,,"Newport, Rhode Island",United States,02840,
Bridgette’s Design,(860) 388-0892,,"Old Saybrook, Connecticut United States",0 Followers Follow,https://www.houzz.com/pro/bridgette-doverspike/bridgette-s-design,,,,,
Makkas Drapery Workroom,(508) 877-4647,www.makkasdrapery.com,"Framingham, Massachusetts 01701 United States",16 Followers Follow,https://www.houzz.com/pro/makkasdrapery/makkas-drapery-workroom,Massachusetts,Framingham,United States,01701,
Golden Oak,(413) 270-0000,hushmail.com,"10 Brook St Manchester, New Hampshire 03104 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-558232936/golden-oak,New Hampshire,Manchester,United States,03104,"$100 - 100,000"
Susan Shulman Interiors,(617) 527-3433,www.shulmaninteriors.com,"29 Ellis Road West Newton, Massachusetts 02465 United States",48 Followers Follow Socials Find me on FacebookFind me on Twitter,https://www.houzz.com/pro/sshulman/susan-shulman-interiors,Massachusetts,West Newton,United States,02465,
Marilyn Rondeau,(413) 788-8551,,"95 Quarry Road West Springfield, Massachusetts 01089 United States",26 Followers Follow,https://www.houzz.com/pro/mystik/marilyn-rondeau,Massachusetts,West Springfield,United States,01089,
Designkhor,(952) 334-7190,,"95 Fawcett St Apt 401 CAMBRIDGE, Massachusetts 02138-1471 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-86412597/designkhor,Massachusetts,CAMBRIDGE,United States,02138-1471,
"Oliver Interiors, LLC",(617) 558-1262,www.oliverinteriors.com,"1377 Walnut Street Newton, Massachusetts 02461 United States",98 Followers Follow Socials Find me on FacebookFind me on my blog or other site,https://www.houzz.com/pro/minicoy/oliver-interiors-llc,Massachusetts,Newton,United States,02461,
Home Style Decor,(774) 208-6149,,"Sandwich, Massachusetts 02537 United States",4 Followers Follow,https://www.houzz.com/pro/capecodartshoppe/home-style-decor,Massachusetts,Sandwich,United States,02537,"$400 - $2,400 Read More"
Southern Vermont Architecture,(802) 380-3553,www.sovtarchitecture.com/,"Guilford, Vermont 05301 United States",4 Followers Follow,https://www.houzz.com/pro/sovtarchitecture/southern-vermont-architecture,Vermont,Guilford,United States,05301,
LushBerry Interiors,(732) 277-9430,www.thisdecormom.com/lushberry-interiors.html,"Westborough, Massachusetts United States",3 Followers Follow,https://www.houzz.com/pro/richa-sinha33/lushberry-interiors,,,,,
Joseph Olson Interiors,(508) 246-6468,,"Nantucket, Massachusetts United States",0 Followers Follow,https://www.houzz.com/pro/clay82/joseph-olson-interiors,,,,,
IRENE FERRI DESIGN,(617) 412-7079,,"CAMBRIDGE, Massachusetts 02139 United States",4 Followers Follow,https://www.houzz.com/pro/irene-ferri/irene-ferri-design,Massachusetts,CAMBRIDGE,United States,02139,
Mary Libby Living,(207) 712-5594,,"150 CLIFFORD ST Portland, Maine 04106 United States",0 Followers Follow Socials Find me on Facebook,https://www.houzz.com/pro/maryelizabeth-libby/mary-libby-living,Maine,Portland,United States,04106,
the wooley bean company,(617) 835-4571,,"westwood, Massachusetts 02090 United States",0 Followers Follow,https://www.houzz.com/pro/wooleybeans/the-wooley-bean-company,Massachusetts,westwood,United States,02090,
Nolan Hoch Associates,(617) 277-6971,,"Chestnut Hill, Massachusetts 02467 United States",,https://www.houzz.com/pro/jshoch/nolan-hoch-associates,Massachusetts,Chestnut Hill,United States,02467,
tryout,(781) 223-1120,,"16 Sunnybank Rd. Watertown, Massachusetts 02472 United States",39 Followers Follow,https://www.houzz.com/pro/emily-shire/tryout,Massachusetts,Watertown,United States,02472,
Bowen Richards Interiors,(615) 636-2165,www.bowenrichards.com,"South Berwick, Maine United States",0 Followers Follow Socials Find me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/bowenrichards/bowen-richards-interiors,,,,,$200 - 500 Read More
