Business Name,Phone Number,Website,Address,Typical Job Cost,Followers,URL,State,City,Country,Zip Code
Ak hair collective,(310) 720-5188,,44905 United States,,0 Followers Follow,https://www.houzz.com/pro/andrew-kleiman94/ak-hair-collective,,,,
Trellis of Erie,(814) 835-7770,www.trelliserie.com/,"erie, Pennsylvania 16505 United States",,19 Followers Follow,https://www.houzz.com/pro/sandy-blazek/trellis-of-erie,Pennsylvania,erie,United States,16505
G DESIGN ELEMENTS,(519) 999-9089,,"P.O. Box. 398 Wheatley, Ontario N0P 2P0 Canada",,6 Followers Follow,https://www.houzz.com/pro/blindside/g-design-elements,,,,
Cathleen Gilg Interior Design,(724) 452-5123,,"Harmony, Pennsylvania 16037 United States",,3 Followers Follow,https://www.houzz.com/pro/catgilg/cathleen-gilg-interior-design,Pennsylvania,Harmony,United States,16037
"Pucher's Flooring, Paint and Window Coverings",(440) 234-4297,www.puchers.com,"50 Park St. Berea, Ohio 44017 United States",,8 Followers Follow Socials Find me on FacebookFind me on TwitterFind me on my blog or other site,https://www.houzz.com/pro/lp36245/pucher-s-flooring-paint-and-window-coverings,Ohio,Berea,United States,44017
Demo & Design All on a Dime,(330) 322-0937,,"Ravenna, Ohio 44266 United States",,1 Follower Follow,https://www.houzz.com/pro/jessyjames83/demo-design-all-on-a-dime,Ohio,Ravenna,United States,44266
jessica,(567) 230-3479,,6550 s sr 100 tiffin 44883 United States,,1 Follower Follow,https://www.houzz.com/pro/jessica-wise78/jessica,,,United States,44883
Blaser Design Group Inc.,(313) 882-6311,,"Grosse Pointe Farms, Michigan United States",,3 Followers Follow,https://www.houzz.com/pro/anne7759/blaser-design-group-inc,,,,
Self,(614) 678-0909,,44077 United States,,0 Followers Follow,https://www.houzz.com/pro/pam-claxton/self,,,,
Ella Bloom Design Studio,(740) 544-5977,ellabloomdesignstudio.com,"1481 Twp Rd 371 Toronto, Ohio 43964 United States","$500 - 50,000",0 Followers Follow,https://www.houzz.com/pro/sherry-delong59/ella-bloom-design-studio,Ohio,Toronto,United States,43964
MagerHughes,(330) 257-1003,,"3870 Wood Rd Madison, Ohio 44057 United States",,0 Followers Follow,https://www.houzz.com/pro/hannah-hughes51/magerhughes,Ohio,Madison,United States,44057
KBR Solutions Inc,(216) 973-6458,KBRSolutionsInc.com,"Newbury, Ohio 44065 United States",,33 Followers Follow,https://www.houzz.com/pro/kbrsolutions/kbr-solutions-inc,Ohio,Newbury,United States,44065
Chris Cunningham,(330) 793-3968,,"Youngstown, Ohio 44515 United States",,9 Followers Follow,https://www.houzz.com/pro/chris-cunningham39/chris-cunningham,Ohio,Youngstown,United States,44515
JG Hilow,(216) 870-2546,,44107 United States,,0 Followers Follow,https://www.houzz.com/pro/judy-hilow/jg-hilow,,,,
Waitedesigngroup,(412) 860-9172,,15143 United States,,0 Followers Follow,https://www.houzz.com/pro/webuser-992521599/waitedesigngroup,,,,
The Diary ...Anything but ordinary ....,(216) 618-9081,,"Painesville, Ohio 44077 United States",,0 Followers Follow,https://www.houzz.com/pro/diary878/the-diary-anything-but-ordinary,Ohio,Painesville,United States,44077
Lavigna interiors,(440) 477-0406,,44022 United States,,0 Followers Follow,https://www.houzz.com/pro/taylor-lavigna/lavigna-interiors,,,,
Clean Living Inc.,,,"Windsor, Ontario Canada",,2 Followers Follow,https://www.houzz.com/pro/missalka/clean-living-inc,,,,
NN Exquisite Expressions,(734) 318-0408,,"Brownstown Charter Township, Michigan 48173 United States",,0 Followers Follow,https://www.houzz.com/pro/webuser-424978308/nn-exquisite-expressions,,,,
Lisa Liccard,(216) 469-4646,,"9927 Highland Drivee Brecksville, Ohio 44141 United States",,10 Followers Follow,https://www.houzz.com/pro/lisaliccardi/lisa-liccard,Ohio,Drivee Brecksville,United States,44141
Riviera Clark Interiors,(248) 563-5196,www.rivieraclark.com,"Detroit, Michigan 48226 United States","$50,000 - 1 million Read More License Number 802728793",0 Followers Follow,https://www.houzz.com/pro/webuser-520343048/riviera-clark-interiors,Michigan,Detroit,United States,48226
Candace Sveda Interior Design,(330) 650-4425,candacesvedainteriors.com,"HUDSON, Ohio 44236 United States",,3 Followers Follow,https://www.houzz.com/pro/candace8950/candace-sveda-interior-design,Ohio,HUDSON,United States,44236
Lindsey Burke,,,"Cleveland, Ohio United States",,0 Followers Follow,https://www.houzz.com/pro/webuser-325937079/lindsey-burke,,,,
Peter Gray,(419) 366-0574,www.mollygrayinteriors.com,"1409 Cleveland Rd East Huron, Ohio 44839 United States","$8,000 - 300,000 License Number 22-024-666",4 Followers Follow,https://www.houzz.com/pro/petegray/peter-gray,Ohio,East Huron,United States,44839
Only Carmen,(330) 881-3493,,Afton Ave. Akron 44313 United States,,1 Follower Follow,https://www.houzz.com/pro/carmensdreamhome/only-carmen,,Akron,United States,44313
ASHLEY HERTHER INTERIORS,(312) 882-4327,www.ashleyhertherinteriors.com,"Rocky River, Ohio 44116 United States","$0 - 10,000 Read More",9 Followers Follow Socials Find me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/ashley-herther/ashley-herther-interiors,,Ohio,United States,44116
CONNIE TURSKI INTERIORS,(216) 664-0513,,"2146 WEST 5TH STREET CLEVELAND, Ohio 44113 United States","$20,000 - 500,000",14 Followers Follow,https://www.houzz.com/pro/caturski/connie-turski-interiors,Ohio,CLEVELAND,United States,44113
Blah!,1005326532,,"New York, New York 44305 United States",,0 Followers Follow,https://www.houzz.com/pro/webuser-843093271/blah,New York,New York,United States,44305
716 Design,(440) 328-9893,,44001 United States,,0 Followers Follow,https://www.houzz.com/pro/melissa-porter43/716-design,,,,
The Crafty Buggar,(440) 385-6737,,"31417 Jager Dr Westlake, Ohio 44145 United States",,18 Followers Follow,https://www.houzz.com/pro/simonellett/the-crafty-buggar,Ohio,Westlake,United States,44145
Network Consulting Inc.,(814) 899-9366,,"2652 Lakeside Drive Erie, Pennsylvania 16511 United States License Number ASID",,7 Followers Follow,https://www.houzz.com/pro/netwrkinc/network-consulting-inc,Pennsylvania,Erie,,16511
The Expressive Nest,(814) 742-0123,www.Theexpressivenest.com,"Edinboro, Pennsylvania 16412 United States",,0 Followers Follow,https://www.houzz.com/pro/barbara-coughlin72/the-expressive-nest,Pennsylvania,Edinboro,United States,16412
"Ingrid Porter Interiors, LLC",(440) 821-4475,ingridporter.com,"Chagrin Falls, Ohio 44022 United States","$100,000 -",319 Followers Follow Socials Find me on FacebookFind me on my blog or other site,https://www.houzz.com/pro/ingridporter/ingrid-porter-interiors-llc,,Ohio,United States,44022
MaryannDesigns 121,(330) 963-2962,,"7946 Burton Ln Hudson, Ohio 44236 United States",,41 Followers Follow,https://www.houzz.com/pro/maryann-wohlwend/maryanndesigns-121,Ohio,Hudson,United States,44236
Pointe Interiors,(734) 368-6301,,"Grosse Pointe Farms, Michigan United States","$10,000 - 100,000",0 Followers Follow,https://www.houzz.com/pro/betsyhfox/pointe-interiors,,,,
Alyssa Wagner,(330) 524-9085,www.coroflot.com/arwinteriors,"9140 Ravenna Rd Twinsburg, Ohio 44087 United States",,14 Followers Follow,https://www.houzz.com/pro/alyssa-wagner36/alyssa-wagner,Ohio,Twinsburg,United States,44087
Pine Tree Barn,(330) 264-6317,www.pinetreebarn.com,"Wooster, Ohio 44691 United States",,11 Followers Follow,https://www.houzz.com/pro/woostermatt/pine-tree-barn,Ohio,Wooster,United States,44691
Restoration Details,(330) 998-2434,Restorationdetails.com,"5320 Hummingbird Drive MIllersburg, Ohio 44654 United States",,1 Follower Follow,https://www.houzz.com/pro/barbmiller213/restoration-details,Ohio,MIllersburg,United States,44654
Housebois,(330) 396-6415,,"Cuyahoga Falls, Ohio 44223 United States",,0 Followers Follow,https://www.houzz.com/pro/webuser-860857560/housebois,,Ohio,United States,44223
Design Unique,(440) 749-4387,,"30951 Lake Shore Blvd 653 Eastlake, Ohio 44095-3616 United States",,0 Followers Follow,https://www.houzz.com/pro/una-lewis32/design-unique,Ohio,Eastlake,United States,44095-3616
Tiffany's Design Studio,(440) 974-8080,www.tiffanysdesignstudio.com,"7215 Sandtree Ln Mentor, Ohio 44060 United States",,8 Followers Follow,https://www.houzz.com/pro/luludogs/tiffany-s-design-studio,Ohio,Mentor,United States,44060
"Live Creative Consulting, llc",(313) 920-2422,,"1991 Severn Rd Grosse Pointe Woods, Michigan 48236 United States",,0 Followers Follow,https://www.houzz.com/pro/joy-lewis11/live-creative-consulting-llc,Michigan,Grosse Pointe Woods,United States,48236
trinitys room and nursery,(216) 270-9897,,"10904 langton ave garfield hts, Ohio 44125 United States",,0 Followers Follow,https://www.houzz.com/pro/trinity-j59/trinitys-room-and-nursery,Ohio,garfield hts,United States,44125
Halle Chiappone,(440) 655-1719,,"Mentor-on-the-Lake, Ohio United States",,0 Followers Follow,https://www.houzz.com/pro/halle-chiappone/halle-chiappone,,,,
Pointe Intriors,(734) 368-6301,,"268 Cloverly Road Grosse Pointe Farms, Michigan 48236 United States",,6 Followers Follow,https://www.houzz.com/pro/betsfox/pointe-intriors,Michigan,Grosse Pointe Farms,United States,48236
Sam Clifford,,,"Avon, Ohio 44011 United States",,6 Followers Follow,https://www.houzz.com/pro/scliffo3/sam-clifford,Ohio,Avon,United States,44011
"Malek Construction, LLC.",(330) 577-3874,malekconstruction.com,"P.O. Box 1203 Cuyahoga Falls, Ohio 44223 United States",,0 Followers Follow Socials Find me on FacebookFind me on my blog or other site,https://www.houzz.com/pro/webuser-222024549/malek-construction-llc,Ohio,Cuyahoga Falls,United States,44223
Dominic Vitalone,(440) 221-5314,,"Cleveland, Ohio 44123 United States",,22 Followers Follow Socials Find me on Facebook,https://www.houzz.com/pro/dominicvitalone/dominic-vitalone,Ohio,Cleveland,United States,44123
IDS,(330) 725-7641,,44281 United States,,0 Followers Follow,https://www.houzz.com/pro/webuser-174596684/ids,,,,
Metallic Tops Resurfacing & Design,(226) 627-0901,www.facebook.com/Metallic-Tops-by-Chad-Wilson,"6835 6th Line East Chatham, Ontario N7M5T1 Canada","$250 - 20,000 Read More",15 Followers Follow Contact Seller,https://www.houzz.com/pro/metallictops/metallic-tops-resurfacing-design,,,,
Kelly Miller,(440) 899-1458,,"563 Red Oak Lane Bay Village, Ohio 44140 United States",,34 Followers Follow,https://www.houzz.com/pro/mcm0503/kelly-miller,Ohio,Bay Village,United States,44140
DM Davis,(814) 833-7287,www.robertsonkitchens.com,"Edinboro, Pennsylvania 16412 United States","$100 - 1,500",29 Followers Follow,https://www.houzz.com/pro/deborah-davis381/dm-davis,Pennsylvania,Edinboro,United States,16412
Sharie Provenzano Design Group LLC,(216) 789-8967,,"Westlake, Ohio United States",,0 Followers Follow,https://www.houzz.com/pro/slp-spdg/sharie-provenzano-design-group-llc,,,,
DECOR SOLUTIONS COACH,(216) 536-5868,decorsolutionscoach.com,"Aurora Road Solon, Ohio 44139 United States",,2 Followers Follow,https://www.houzz.com/pro/decorsolutions/decor-solutions-coach,Ohio,Solon,United States,44139
Luis,(464) 205-6393,,16502 United States,,0 Followers Follow,https://www.houzz.com/pro/orejas-martinez/luis,,,,
Nunya,(440) 759-1234,,"Nunya lakewood, Ohio 44107 United States",,0 Followers Follow,https://www.houzz.com/pro/mary-michaud61/nunya,Ohio,Nunya lakewood,United States,44107
Indigauld,(313) 434-7918,,"4264 Audubon Road Detroit, Michigan 48224 United States",,0 Followers Follow,https://www.houzz.com/pro/david-fisher151/indigauld,Michigan,Detroit,United States,48224
The Byzantine Design Group LLC,(330) 501-0321,,"Cleveland, Ohio 44113 United States",,0 Followers Follow,https://www.houzz.com/pro/thebyzantine/the-byzantine-design-group-llc,Ohio,Cleveland,United States,44113
