Business Name,Phone Number,Address,Followers,URL,State,City,Country,Zip Code,Website,Typical Job Cost
Mindy Hanway / MINK MODE,(208) 999-6996,"1161 W Main Street 306 Boise, Idaho 83702 United States License Number Freelancer",8 Followers Follow,https://www.houzz.com/pro/mindyhanway/mindy-hanway-mink-mode,Idaho,Boise,,83702,www.minkmode.com,
Black Key Home,(208) 991-4002,"PO BOX 637 Sun Valley, Idaho 83333 United States",0 Followers Follow,https://www.houzz.com/pro/berneedesign/black-key-home,Idaho,Sun Valley,United States,83333,www.berneedesign.com,"$3,500 - 300,000 Read More"
The Finishing Touch,(208) 841-0407,"11231 W Edgehill Dr Boise, Idaho 83709 United States",6 Followers Follow,https://www.houzz.com/pro/sharfinishtouch/the-finishing-touch,Idaho,Boise,United States,83709,www.finishingtouchframeshop.com/,
Red Sofa Company Furniture and Interior Design,(208) 521-6574,"Boise, Idaho 83709 United States",63 Followers Follow Socials Find me on FacebookFind me on TwitterFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/redsofacompany/red-sofa-company-furniture-and-interior-design,Idaho,Boise,United States,83709,www.RedSofaCompany.com,
"The Bradley Group, LLC.",(208) 918-1014,"9601 W. State Street, #103 Garden City, Idaho 83714 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-119012188/the-bradley-group-llc,Idaho,Garden City,United States,83714,,
"Willkommen Home Staging & Design, LLC",(201) 519-0898,"Boise, Idaho 83709 United States",1 Follower Follow,https://www.houzz.com/pro/carolyn-sheehan/willkommen-home-staging-design-llc,Idaho,Boise,United States,83709,,
LM Design Co.,(415) 215-4734,"Meridian, Idaho 83642 United States",6 Followers Follow,https://www.houzz.com/pro/lmroxysnow/lm-design-co,Idaho,Meridian,United States,83642,www.ethanallen.com/Boise,
Fina Home Design,(208) 440-5575,"2590 E Bergeson Boise, Idaho 83706 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-410767352/fina-home-design,Idaho,Boise,United States,83706,,
Jaime Averill at Rockn’ Outwest LLC,(208) 401-4020,"1257 W River St Boise, Idaho 83704 United States",24 Followers Follow,https://www.houzz.com/pro/jaime-averill/jaime-averill-at-rockn-outwest-llc,Idaho,Boise,United States,83704,,$100 - 125 Read More
Ben Gin LLC,(208) 724-9795,"Boise, Idaho 83642 United States",9 Followers Follow,https://www.houzz.com/pro/bengintelevision/ben-gin-llc,Idaho,Boise,United States,83642,bengin.tv,"$2,500 - 10,000 Read More"
Dawn Salkas,(208) 377-1111,"400 N. Cole Rd. Boise, Idaho 83704 United States",8 Followers Follow,https://www.houzz.com/pro/dsalkas/dawn-salkas,Idaho,Boise,United States,83704,ethanallen.com,"$5,000. - $25,000. Read More"
Design VIm,(208) 954-9439,"Boise, Idaho United States",1 Follower Follow,https://www.houzz.com/pro/webuser-604323319/design-vim,,,,,,
Golden Interiors,(562) 234-2956,"1004 W Royal Blvd Boise, Idaho 83706 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-407559334/golden-interiors,Idaho,Boise,United States,83706,,"$1,000 -"
Jim Latva Property Services,(208) 720-3798,"Sun Valley, Idaho 83353 United States",0 Followers Follow,https://www.houzz.com/pro/jimlatva/jim-latva-property-services,,Idaho,United States,83353,,
Monica Macha Design,(208) 861-4600,"Boise, Idaho 83716 United States",20 Followers Follow,https://www.houzz.com/pro/monicamachadesign/monica-macha-design,Idaho,Boise,United States,83716,monicamachadesign.com,"$1,500 - 50,000 Read More"
Lauren design,(208) 629-9653,"Vegas, Idaho 83605 United States",0 Followers Follow,https://www.houzz.com/pro/lauren-nelson106/lauren-design,Idaho,Vegas,United States,83605,,
ItsSteffiMarie,(208) 739-6496,262 Moyer Ave. Weiser 83672 United States,0 Followers Follow,https://www.houzz.com/pro/itssteffimarie/itssteffimarie,,Weiser,United States,83672,,
Advanced Terrain Design,(208) 550-2569,"Weiser, Idaho 83672 United States",0 Followers Follow,https://www.houzz.com/pro/jr-bumgarner/advanced-terrain-design,Idaho,Weiser,United States,83672,,
Allison Porter Designs LLC,(425) 466-1361,"5948 W Hamm lane Eagle, Idaho 83616 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-809629286/allison-porter-designs-llc,Idaho,Eagle,United States,83616,Www.allisonporterdesigns.com,
"Wendy Wallace, Ethan Allen Design Center of Boise",(208) 377-1111,"400 N. Cole Rd. Boise, Idaho 83704 United States",88 Followers Follow,https://www.houzz.com/pro/wendy-barneswallace/wendy-wallace-ethan-allen-design-center-of-boise,Idaho,Boise,United States,83704,www.ethanallen.com,
White Designs,(208) 721-8781,"Ketchum, Idaho United States",3 Followers Follow,https://www.houzz.com/pro/rene-white35/white-designs,,,,,,
Gayla Interiors,(916) 698-1701,"Boise, Idaho 83646 United States",1 Follower Follow,https://www.houzz.com/pro/gaylainteriors/gayla-interiors,Idaho,Boise,United States,83646,www.gaylainteriors.com,
Kevin Delgado,,"Nampa, Idaho United States",15 Followers Follow,https://www.houzz.com/pro/kevindelgado/kevin-delgado,,,,,cargocollective.com/kevindelgado,
Anna Carter-McCarthy,(208) 440-1028,"BOISE, Idaho 83714 United States",0 Followers Follow,https://www.houzz.com/pro/anna-carter17/anna-carter-mccarthy,Idaho,BOISE,United States,83714,,
Stussi Luque Design,(208) 861-6221,"Boise, Idaho United States",22 Followers Follow,https://www.houzz.com/pro/jessica-luque/stussi-luque-design,,,,,,
Sorbet,(707) 999-1732,543 e. greencreek ct eagle 83616 United States,16 Followers Follow Socials Find me on FacebookFind me on my blog or other site,https://www.houzz.com/pro/ashleymayriejohn/sorbet,,eagle,United States,83616,www.sorbet.com,"$500 - 10,000 Read More"
Jacob Walker,(208) 960-5529,"301 w meadow ridge ln Eagle, Idaho 83616 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-567806445/jacob-walker,Idaho,Eagle,United States,83616,,
